wordID	wordCS	word	lemma	Pos
260	sir	sir	sir	nn1
261	wo	wo	will	vm
262	In	in	in	ii
263	Get	get	get	vv0
264	more	more	more	dar
265	trying	trying	try	vvg
266	away	away	away	rl
267	getting	getting	get	vvg
268	old	old	old	jj
269	place	place	place	nn1
270	someone	someone	someone	pn1
271	where	where	where	rrq
272	big	big	big	jj
273	money	money	money	nn1
274	come	come	come	vv0
275	else	else	else	rr
276	please	please	please	rr
277	too	too	too	rr@
278	came	came	come	vvd
279	Then	then	then	rt
280	own	own	own	da
281	okay	okay	okay	rr
282	looking	looking	look	vvg
283	another	another	another	dd1
284	every	every	every	at1
285	talking	talking	talk	vvg
286	wanted	wanted	want	vvd
287	course	course	course	rr22
288	house	house	house	nn1
289	went	went	go	vvd
290	maybe	maybe	maybe	rr
291	job	job	job	nn1
292	bad	bad	bad	jj
293	which	which	which	ddq
294	girl	girl	girl	nn1
295	car	car	car	nn1
296	over	over	over	rp
297	three	three	three	mc
298	world	world	world	nn1
299	--	--	--	#y
300	coming	coming	come	vvg
301	fine	fine	fine	jj
302	on	on	on	rp@
303	same	same	same	da
304	idea	idea	idea	nn1
305	Go	go	go	vv0
306	love	love	love	vv0
307	family	family	family	nn1
308	Because	because	because	cs
309	together	together	together	rl
310	Here	here	here	rl
311	may	may	may	vm
312	knew	knew	know	vvd
313	friend	friend	friend	nn1
314	Hi	hi	hi	uh
315	hell	hell	hell	nn1
316	lot	lot	lot	nn1
317	dead	dead	dead	jj
318	actually	actually	actually	rr
319	happened	happened	happen	vvd
320	let	let	let	vvi
321	room	room	room	nn1
322	okay	okay	okay	jj
323	today	today	today	rt
324	Thanks	thanks	thanks	nn2
325	on	on	on	rp@_ii
326	baby	baby	baby	nn1
327	father	father	father	nn1
328	need	need	need	vvi
329	home	home	home	rl
330	keep	keep	keep	vvi
331	all	all	all	rr21
332	say	say	say	vv0
333	Can	can	can	vm_vv0%
334	look	look	look	vvi
335	much	much	much	da1
336	yourself	yourself	yourself	ppx1
337	believe	believe	believe	vvi
338	next	next	next	md
339	took	took	take	vvd
340	saw	saw	see	vvd
341	seen	seen	see	vvn
342	only	only	only	jj
343	Hello	hello	hello	uh
344	already	already	already	rr
345	ago	ago	ago	ra
346	call	call	call	vvi
347	real	real	real	jj
348	ta	ta	ta	to
349	a	a	a	rr21
350	mean	mean	mean	vvi
351	Sorry	sorry	sorry	jj
352	Please	please	please	rr
353	kill	kill	kill	vvi
354	woman	woman	woman	nn1
355	let	let	let	vm21
356	few	few	few	da2
357	tell	tell	tell	vv0
358	take	take	take	vv0
359	to	to	to	ii22
360	yes	yes	yes	uh
361	Wait	wait	wait	vv0
362	For	for	for	if
363	many	many	many	da2
364	mother	mother	mother	nn1
365	morning	morning	morning	nnt1
366	son	son	son	nn1
367	much	much	much	da1_rr
368	kind	kind	kind	nn1
369	Ah	ah	ah	uh
370	yet	yet	yet	rr
371	problem	problem	problem	nn1
372	made	made	make	vvd
373	-	-	--	#nn1_jj
374	hear	hear	hear	vvi
375	All	all	all	db
376	boy	boy	boy	nn1
377	Let	let	let	vv0
378	saying	saying	say	vvg
379	having	having	have	vhg
380	gone	gone	go	vvn
381	Have	have	have	vh0
382	work	work	work	nn1
383	without	without	without	iw
384	ask	ask	ask	vvi
385	through	through	through	ii
386	when	when	when	rrq_cs
